support,itemsets
0.6417000908546989,frozenset({'/history/apollo/images'})
0.4967092871230084,frozenset({'/shuttle/missions/sts-69'})
0.38376138453697345,frozenset({'/shuttle/countdown'})
0.3578788751745075,"frozenset({'/shuttle/missions/sts-69', '/shuttle/countdown'})"
0.32000797748576243,"frozenset({'/shuttle/missions/sts-69', '/history/apollo/images'})"
0.3004188180025262,frozenset({'/shuttle/missions'})
0.24468721607906574,"frozenset({'/history/apollo/images', '/shuttle/missions'})"
0.20253949963436524,"frozenset({'/history/apollo/images', '/shuttle/countdown'})"
0.19686662086998913,"frozenset({'/shuttle/missions/sts-69', '/history/apollo/images', '/shuttle/countdown'})"
0.17647971281051256,frozenset({'/shuttle/technology/sts-newsref'})
0.1634941387639329,"frozenset({'/shuttle/missions/sts-69', '/shuttle/missions'})"
0.15429787045449508,frozenset({'/history'})
0.14558911516387085,frozenset({'/shuttle/resources/orbiters'})
0.14454761007822367,"frozenset({'/history/apollo/images', '/history'})"
0.13705763733463336,frozenset({'/history/apollo'})
0.13694683892126663,"frozenset({'/shuttle/missions/sts-69', '/history/apollo/images', '/shuttle/missions'})"
0.13559509827819266,frozenset({'/shuttle/missions/sts-70'})
0.12861479823608926,frozenset({'/facilities'})
0.12797216743856227,"frozenset({'/history/apollo', '/history/apollo/images'})"
0.1265761074301416,frozenset({'/shuttle/missions/sts-71'})
0.12001684135883174,"frozenset({'/shuttle/resources/orbiters', '/history/apollo/images'})"
0.11833270547565759,frozenset({'/shuttle/countdown/video'})
0.11675936800585016,"frozenset({'/shuttle/countdown', '/shuttle/countdown/video'})"
0.11538546768010283,frozenset({'/shuttle/countdown/images'})
0.11305870099940168,"frozenset({'/shuttle/countdown', '/shuttle/missions'})"
0.1103995390786004,"frozenset({'/shuttle/countdown', '/shuttle/countdown/images'})"
0.10831652890730604,frozenset({'/history/apollo/apollo-13'})
0.10825004985928602,"frozenset({'/shuttle/missions/sts-69', '/shuttle/countdown', '/shuttle/missions'})"
0.10556872825581137,"frozenset({'/shuttle/missions/sts-69', '/shuttle/countdown/images'})"
0.10510337491967114,"frozenset({'/shuttle/missions/sts-69', '/shuttle/countdown/video'})"
0.10410618919937066,"frozenset({'/shuttle/missions/sts-69', '/shuttle/countdown', '/shuttle/countdown/images'})"
0.1038181133246172,"frozenset({'/shuttle/missions/sts-69', '/shuttle/countdown', '/shuttle/countdown/video'})"
0.10135838854787599,"frozenset({'/history/apollo/images', '/history/apollo/apollo-13'})"
0.09982937044341525,"frozenset({'/history/apollo/images', '/shuttle/technology/sts-newsref'})"
0.09962993329935516,"frozenset({'/history/apollo/images', '/shuttle/missions/sts-70'})"
0.09539743390874643,"frozenset({'/history/apollo/images', '/facilities'})"
0.09145301039289118,"frozenset({'/history/apollo/images', '/shuttle/countdown', '/shuttle/missions'})"
0.09087685864338423,"frozenset({'/shuttle/missions/sts-69', '/shuttle/technology/sts-newsref'})"
0.08874952910674319,"frozenset({'/shuttle/missions/sts-69', '/history/apollo/images', '/shuttle/countdown', '/shuttle/missions'})"
0.08686595607950894,frozenset({'/shuttle/technology/images'})
0.08389655860128083,"frozenset({'/shuttle/missions', '/history'})"
0.08360848272652735,"frozenset({'/shuttle/missions/sts-69', '/shuttle/resources/orbiters'})"
0.0811709176324595,"frozenset({'/shuttle/technology/images', '/shuttle/technology/sts-newsref'})"
0.0809714804883994,"frozenset({'/history/apollo/images', '/shuttle/missions/sts-71'})"
0.07948678174928535,"frozenset({'/shuttle/missions/sts-69', '/shuttle/missions/sts-70'})"
0.07833447825027146,"frozenset({'/history/apollo/images', '/shuttle/missions', '/history'})"
0.07806856205819132,"frozenset({'/shuttle/missions/sts-70', '/shuttle/missions'})"
0.077403771577991,"frozenset({'/shuttle/countdown', '/shuttle/technology/sts-newsref'})"
0.0762514680789771,"frozenset({'/shuttle/technology/sts-newsref', '/shuttle/missions'})"
0.07512132426263655,"frozenset({'/shuttle/resources/orbiters', '/shuttle/missions'})"
0.07370310457154254,"frozenset({'/shuttle/missions/sts-69', '/shuttle/missions/sts-71'})"
0.07239568329381524,"frozenset({'/history/apollo', '/history'})"
0.07133201852549471,"frozenset({'/shuttle/missions/sts-69', '/shuttle/countdown', '/shuttle/technology/sts-newsref'})"
0.07106610233341458,"frozenset({'/shuttle/missions/sts-69', '/history/apollo/images', '/shuttle/resources/orbiters'})"
0.06867285660469342,"frozenset({'/shuttle/missions/sts-69', '/facilities'})"
0.06783078866310635,"frozenset({'/history/apollo', '/history/apollo/images', '/history'})"
0.06712167881755933,"frozenset({'/history/apollo/images', '/shuttle/missions/sts-70', '/shuttle/missions'})"
0.06599153500121878,"frozenset({'/history/apollo/images', '/shuttle/countdown/images'})"
0.06572561880913866,"frozenset({'/shuttle/missions/sts-69', '/history/apollo/images', '/shuttle/technology/sts-newsref'})"
0.06572561880913866,"frozenset({'/shuttle/resources/orbiters', '/history/apollo/images', '/shuttle/missions'})"
0.06475059277151152,"frozenset({'/history/apollo/images', '/shuttle/countdown/video'})"
0.06395284419527113,"frozenset({'/shuttle/missions/sts-70', '/shuttle/countdown'})"
0.06386420546457774,"frozenset({'/shuttle/countdown', '/shuttle/missions/sts-71'})"
0.06381988609923106,"frozenset({'/shuttle/missions/sts-69', '/history/apollo/images', '/shuttle/countdown/images'})"
0.06381988609923106,"frozenset({'/history/apollo/images', '/shuttle/countdown', '/shuttle/countdown/video'})"
0.06379772641655772,"frozenset({'/history/apollo/images', '/shuttle/countdown', '/shuttle/countdown/images'})"
0.06337669244576417,"frozenset({'/shuttle/missions/sts-69', '/history/apollo/images', '/shuttle/missions/sts-70'})"
0.0627340616482372,"frozenset({'/shuttle/countdown/images', '/shuttle/missions/sts-69', '/history/apollo/images', '/shuttle/countdown'})"
0.06264542291754382,"frozenset({'/shuttle/missions/sts-69', '/history/apollo/images', '/shuttle/countdown/video'})"
0.06240166640813703,"frozenset({'/history/apollo', '/history/apollo/apollo-13'})"
0.06175903561061006,"frozenset({'/shuttle/countdown/video', '/shuttle/missions/sts-69', '/history/apollo/images', '/shuttle/countdown'})"
0.061205043543776455,"frozenset({'/shuttle/technology/sts-newsref', '/history/apollo/images', '/shuttle/missions'})"
0.0610277660823897,"frozenset({'/shuttle/missions/sts-69', '/shuttle/countdown', '/shuttle/missions/sts-71'})"
0.05861236067099519,"frozenset({'/shuttle/countdown/video', '/shuttle/countdown/images'})"
0.05845724289228178,"frozenset({'/shuttle/countdown', '/shuttle/countdown/video', '/shuttle/countdown/images'})"
0.05830212511356837,"frozenset({'/history/apollo', '/history/apollo/apollo-13', '/history/apollo/images'})"
0.05805836860416159,"frozenset({'/shuttle/missions/sts-69', '/shuttle/missions/sts-70', '/shuttle/countdown'})"
0.057504376537327984,"frozenset({'/shuttle/missions/sts-69', '/history'})"
