support,itemsets
0.07096279058252668,frozenset({'/history/apollo'})
0.056252320946698686,frozenset({'/history'})
0.25431139058747804,frozenset({'/shuttle/countdown'})
0.04544846879409799,frozenset({'/facilities'})
0.01110093333003243,frozenset({'/shuttle/missions/sts-73'})
0.08071695590820191,frozenset({'/shuttle/countdown/video'})
0.08380164880053474,frozenset({'/shuttle/missions/sts-71/images'})
0.07938504196271631,frozenset({'/shuttle/technology/sts-newsref'})
0.015339291461391825,frozenset({'/shuttle/missions/51-l'})
0.024741910727106183,frozenset({'/facts'})
0.10158195726982398,frozenset({'/shuttle/missions/sts-71'})
0.20629316960859556,frozenset({'/history/apollo/images'})
0.013858836927190355,frozenset({'/history/apollo/apollo-13/images'})
0.0621394796128042,frozenset({'/shuttle/missions/sts-71/movies'})
0.04573069591265813,frozenset({'/shuttle/technology/images'})
0.030965761394300993,frozenset({'/software/winvn'})
0.020394622830688484,frozenset({'/shuttle/countdown/lps'})
0.05272200628821826,frozenset({'/shuttle/resources/orbiters'})
0.007753818730968237,frozenset({'/history/skylab'})
0.11710940014358924,frozenset({'/shuttle/missions'})
0.009273884088827272,frozenset({'/shuttle/missions/sts-78'})
0.012700220335206595,frozenset({'/shuttle/missions/sts-67'})
0.07210655311563885,frozenset({'/history/apollo/apollo-13'})
0.01141286856633575,frozenset({'/history/mercury'})
0.006322877726338722,frozenset({'/history/mercury/mr-3'})
0.014552026341197732,frozenset({'/shuttle/missions/sts-68'})
0.012729928452949768,frozenset({'/history/apollo/apollo-13/sounds'})
0.09440744683484763,frozenset({'/shuttle/missions/sts-70'})
0.014492610105711385,frozenset({'/history/apollo/apollo-13/movies'})
0.006233753373109202,frozenset({'/history/apollo/apollo-13/news'})
0.006867526551630233,frozenset({'/shuttle/missions/sts-71/news'})
0.032624464634961506,frozenset({'/shuttle/missions/sts-69'})
0.007565667318594806,frozenset({'/shuttle/missions/sts-72'})
0.022503899190453792,"frozenset({'""""'})"
0.011501992919565272,frozenset({'/shuttle/missions/sts-63'})
0.024672591785705442,frozenset({'/history/apollo/apollo-11'})
0.013140890748397,frozenset({'/history/apollo/apollo-1'})
0.007164607729061966,frozenset({'/history/apollo/apollo-13/docs'})
0.005793082959918798,frozenset({'/shuttle/missions/sts-68/images'})
0.008961948852523952,frozenset({'/shuttle/missions/sts-74'})
0.03958606689277845,frozenset({'/shuttle/missions/sts-70/images'})
0.007615180848166762,frozenset({'/shuttle/missions/sts-1'})
0.010402792563067859,frozenset({'/shuttle/missions/sts-67/images'})
0.008952046146609561,frozenset({'/history/gemini'})
0.0345158814646102,frozenset({'/shuttle/missions/sts-70/movies'})
0.009397667912757162,frozenset({'/elv'})
0.007090337434704033,frozenset({'/elv/DELTA'})
0.00652588319758374,frozenset({'/elv/ATLAS_CENTAUR'})
0.006515980491669349,frozenset({'/elv/TITAN'})
0.006515980491669349,frozenset({'/elv/SCOUT'})
0.006204045255366029,frozenset({'/elv/PEGASUS'})
0.007347807788478202,frozenset({'/history/apollo/apollo-17'})
0.008234099967816206,frozenset({'/shuttle/missions/sts-66'})
0.006476369668011784,frozenset({'/shuttle/missions/sts-69/news'})
0.030104225979748968,frozenset({'/shuttle/countdown/images'})
0.005941623548634665,frozenset({'/shuttle/countdown/lps/images'})
0.005268239546456069,frozenset({'/icon'})
0.008021191790656797,frozenset({'/shuttle/missions/sts-70/news'})
0.05818334860000495,"frozenset({'/history/apollo', '/history/apollo/images'})"
0.03300571881266556,"frozenset({'/history/apollo', '/history/apollo/apollo-13'})"
0.01001163567944941,"frozenset({'/history/apollo', '/shuttle/missions'})"
0.0060901641373505315,"frozenset({'/history/apollo', '/shuttle/countdown'})"
0.02763845220706558,"frozenset({'/history/apollo', '/history/apollo/apollo-13', '/history/apollo/images'})"
